S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
3573,ITT20180906,ITT,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,19/9/2018,UrbanReach Facility Support," $398,369.00 "
3574,ITT20180907,ITT,Institute for Social Justice and Equality,Building automation and smart technology integration.,20/9/2018,StarCrest Facility Services," $109,733.00 "
3575,ITT20180908,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,20/9/2018,FreshEdge Facility Support," $115,414.00 "
3576,ITT20180909,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,20/9/2018,SecureSpace Management," $253,761.00 "
3577,ITT20180910,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,20/9/2018,BlueCrest Facility Support," $271,916.00 "
3578,ITT20180911,ITT,Federal Agency for Environmental Protection,Emergency response and disaster recovery planning.,20/9/2018,GoldenStar Property Care," $387,034.00 "
3579,ITT20180912,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,20/9/2018,SilverReach Facility Services," $419,073.00 "
3580,ITT20180913,ITT,Office of Public Safety and Emergency Management,Building automation and smart technology integration.,21/9/2018,TrustPro Building Maintenance," $162,260.00 "
3581,ITT20180914,ITT,National Institute of Scientific Advancement,Building automation and smart technology integration.,21/9/2018,SilverTech Facilities Masters," $184,952.00 "
3582,ITT20180915,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,22/9/2018,GrandEdge Property Solutions," $210,069.00 "
3583,ITT20180916,ITT,Office of International Relations and Diplomatic Affairs,Health and safety compliance management and training.,22/9/2018,GreenLine Building Experts," $212,095.00 "
3584,ITT20180917,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,22/9/2018,HorizonView Property Management," $345,679.00 "
3585,ITT20180918,ITT,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,22/9/2018,UrbanTech Management," $395,424.00 "
3586,ITT20180919,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,23/9/2018,SafeTech Maintenance," $110,015.00 "
3587,ITT20180920,ITT,Bureau of Urban Development and Infrastructure,Fire safety system installation and maintenance.,23/9/2018,EverReach Property Care," $226,670.00 "
3588,ITT20180921,ITT,National Institute of Scientific Advancement,Tenant communication and customer service assistance.,23/9/2018,HorizonPro Facility Management," $250,292.00 "
3589,ITT20180922,ITT,Ministry of Strategic Economic Planning,Space planning and utilization optimization strategies.,23/9/2018,AlphaTech Facilities Management," $259,340.00 "
3590,ITT20180923,ITT,Department of Energy Conservation and Sustainability,Building automation and smart technology integration.,23/9/2018,AlphaStone Property Support," $378,719.00 "
3591,ITT20180924,ITT,Department of Advanced Technological Research,Space planning and utilization optimization strategies.,24/9/2018,SafeReach Property Solutions," $103,280.00 "
3592,ITT20180925,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,24/9/2018,SafeEdge Property Care," $133,963.00 "
3593,ITT20180926,ITT,Commission for Ethical Governance,Renovation and remodeling project management.,24/9/2018,SwiftCrest Property Management," $191,104.00 "
3594,ITT20180927,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,24/9/2018,SafeEdge Property Care," $250,344.00 "
3595,ITT20180928,ITT,Department of Advanced Technological Research,Expert landscaping and groundskeeping solutions.,24/9/2018,SafeHarbor Facilities Group," $280,712.00 "
3596,ITT20180929,ITT,National Commission for Space Exploration,Building maintenance and repairs.,24/9/2018,SecureReach Property Care," $366,529.00 "
3597,ITT20180930,ITT,National Cybersecurity Task Force,Cleaning supplies and consumables procurement and management.,24/9/2018,InfiniteSpace Building Solutions," $401,259.00 "
3598,ITT20180931,ITT,Institute for Social Justice and Equality,24/7 security and access control management.,24/9/2018,EliteEdge Facilities Group," $424,752.00 "
3599,ITT20180932,ITT,National Commission for Space Exploration,Indoor air quality monitoring and improvement measures.,24/9/2018,SecureSpace Management," $482,380.00 "
3600,ITT20180933,ITT,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,25/9/2018,EverPro Property Support," $113,853.00 "
3601,ITT20180934,ITT,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,25/9/2018,TruePro Building Experts," $134,985.00 "
3602,ITT20180935,ITT,Commission for Ethical Governance,Cleaning supplies and consumables procurement and management.,25/9/2018,InfiniteSpace Building Solutions," $174,682.00 "
3603,ITT20180936,ITT,Department of Energy Conservation and Sustainability,Indoor air quality monitoring and improvement measures.,25/9/2018,TrustEdge Building Maintenance," $306,259.00 "
3604,ITT20180937,ITT,Office of International Relations and Diplomatic Affairs,Waste management and recycling program implementation.,27/9/2018,SafeHarbor Facilities Group," $339,901.00 "
3605,ITT20180938,ITT,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,27/9/2018,EverGreen Property Support," $501,620.00 "
3606,ITT20180939,ITT,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,28/9/2018,TrueNorth Facility Solutions," $134,955.00 "
3607,ITT20180940,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,28/9/2018,InfiniteGuard Building Care," $286,881.00 "
3608,ITT20180941,ITT,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,28/9/2018,SwiftCrest Property Management," $384,315.00 "
3609,ITT20180942,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,28/9/2018,GreenPrime Facilities Group," $423,994.00 "
3610,ITT20180943,ITT,National Commission for Space Exploration,Parking management and traffic control solutions.,29/9/2018,SecureSpace Management," $144,920.00 "
3611,ITT20180944,ITT,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,29/9/2018,InfiniteCare Property Services," $367,099.00 "
3612,ITT20180945,ITT,Office of Public Safety and Emergency Management,Renovation and remodeling project management.,29/9/2018,SwiftCrest Property Management," $379,305.00 "
3613,ITT20180946,ITT,Department of Energy Conservation and Sustainability,Fire safety system installation and maintenance.,30/9/2018,BlueBreeze Facility Solutions," $132,579.00 "
3614,ITT20180947,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,30/9/2018,SkyHigh Property Management," $172,277.00 "
3615,ITT20180948,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,30/9/2018,GreenLine Building Experts," $511,916.00 "
3616,ITT20180949,ITT,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,1/10/2018,HorizonView Property Management," $319,838.00 "
3617,ITT20180950,ITT,Department of Energy Conservation and Sustainability,Waste management and recycling program implementation.,1/10/2018,InfiniteSpace Building Solutions," $386,796.00 "
3618,ITT20180951,ITT,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2/10/2018,InfiniteSpace Building Solutions," $120,984.00 "
3619,ITT20180952,ITT,Ministry of Strategic Economic Planning,Expert landscaping and groundskeeping solutions.,2/10/2018,BlueSail Property Experts," $220,097.00 "
3620,ITT20180953,ITT,Department of Energy Conservation and Sustainability,Fire safety system installation and maintenance.,2/10/2018,VisionQuest Facility Care," $291,641.00 "
3621,ITT20180954,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2/10/2018,UrbanGuard Facilities," $349,904.00 "
3622,ITT20180955,ITT,Department of Public Health and Disease Control,Comprehensive janitorial services and cleanliness maintenance.,2/10/2018,AlphaStone Property Support," $525,116.00 "
3623,ITT20180956,ITT,National Commission for Space Exploration,Cleaning supplies and consumables procurement and management.,3/10/2018,InfiniteSpace Building Solutions," $117,744.00 "
3624,ITT20180957,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,3/10/2018,GreenWave Facilities Management," $265,574.00 "
3625,ITT20180958,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,3/10/2018,SecureSpace Management," $383,301.00 "
3626,ITT20180959,ITT,Commission for Ethical Governance,24/7 security and access control management.,3/10/2018,Reliable Facility Services," $412,478.00 "
3627,ITT20180960,ITT,National Commission for Space Exploration,Parking management and traffic control solutions.,3/10/2018,BlueCrest Facility Support," $434,531.00 "
3628,ITT20180961,ITT,Bureau of National Security and Intelligence,HVAC system maintenance and climate control optimization.,4/10/2018,EverReach Property Care," $109,749.00 "
3629,ITT20180962,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,4/10/2018,HorizonPro Facility Management," $197,416.00 "
3630,ITT20180963,ITT,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,4/10/2018,SafeHaven Maintenance," $328,417.00 "
3631,ITT20180964,ITT,Department of Advanced Technological Research,Expert landscaping and groundskeeping solutions.,4/10/2018,GreenLine Building Experts," $512,002.00 "
3632,ITT20180965,ITT,Commission for Ethical Governance,Fire safety system installation and maintenance.,5/10/2018,GrandEdge Property Solutions," $293,815.00 "
3633,ITT20180966,ITT,National Commission for Space Exploration,Emergency response and disaster recovery planning.,5/10/2018,SecureSpace Management," $320,686.00 "
3634,ITT20180967,ITT,Commission for Ethical Governance,Building maintenance and repairs.,5/10/2018,GoldenTech Maintenance," $534,204.00 "
3635,ITT20180968,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,5/10/2018,HighWave Building Solutions," $539,227.00 "
3636,ITT20180969,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,6/10/2018,BlueReach Property Solutions," $130,475.00 "
3637,ITT20180970,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,7/10/2018,UrbanTech Management," $258,984.00 "
3638,ITT20180971,ITT,National Institute of Scientific Advancement,Energy-efficient systems and consumption monitoring.,7/10/2018,CleanReach Facility Experts," $291,205.00 "
3639,ITT20180972,ITT,National Cybersecurity Task Force,Parking management and traffic control solutions.,7/10/2018,GrandEdge Property Solutions," $314,281.00 "
3640,ITT20180973,ITT,Bureau of Urban Development and Infrastructure,Furniture and equipment maintenance and inventory tracking.,7/10/2018,InfiniteGuard Building Care," $321,325.00 "
3641,ITT20180974,ITT,National Cybersecurity Task Force,Emergency response and disaster recovery planning.,7/10/2018,SafeReach Property Solutions," $324,988.00 "
3642,ITT20180975,ITT,National Cybersecurity Task Force,Fire safety system installation and maintenance.,7/10/2018,EliteEdge Facilities Group," $551,433.00 "
3643,ITT20180976,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,8/10/2018,SilverTech Facilities Masters," $340,391.00 "
