S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
4408,ITT20190524,ITT,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2019-06-18,TrustEdge Building Maintenance,398320
4409,ITT20190525,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2019-06-18,SafeHarbor Facilities Group,454535
4410,ITT20190526,ITT,Commission for Ethical Governance,24/7 security and access control management.,2019-06-19,HorizonHarbor Property Services,141343
4411,ITT20190527,ITT,National Commission for Space Exploration,24/7 security and access control management.,2019-06-19,SecureSpace Management,293628
4412,ITT20190528,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,2019-06-19,TruePro Building Experts,522496
4413,ITT20190529,ITT,National Institute of Scientific Advancement,Tenant communication and customer service assistance.,2019-06-20,HorizonHarbor Property Services,438008
4414,ITT20190530,ITT,Department of Advanced Technological Research,Expert landscaping and groundskeeping solutions.,2019-06-21,GreenWave Facilities Management,248267
4415,ITT20190531,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2019-06-21,SilverStone Management,266832
4416,ITT20190532,ITT,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,2019-06-22,TrueView Management,198366
4417,ITT20190533,ITT,Federal Agency for Environmental Protection,Tenant communication and customer service assistance.,2019-06-22,SwiftSail Building Solutions,270657
4418,ITT20190534,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,2019-06-22,SilverLine Facility Experts,430797
4419,ITT20190535,ITT,Federal Agency for Environmental Protection,24/7 security and access control management.,2019-06-23,ApexGuard Facility Services,188729
4420,ITT20190536,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2019-06-23,GoldenHarbor Management,205557
4421,ITT20190537,ITT,Commission for Ethical Governance,24/7 security and access control management.,2019-06-23,TrueWave Facilities Management,254670
4422,ITT20190538,ITT,Department of Advanced Technological Research,Building maintenance and repairs.,2019-06-23,EliteCare Facility Support,261974
4423,ITT20190539,ITT,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2019-06-23,SafeReach Property Solutions,531338
4424,ITT20190540,ITT,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,2019-06-25,GrandPro Facilities Support,159678
4425,ITT20190541,ITT,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,2019-06-25,SilverReach Facility Services,437586
4426,ITT20190542,ITT,National Commission for Space Exploration,Renovation and remodeling project management.,2019-06-26,SecureSpace Management,192529
4427,ITT20190543,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,2019-06-26,SafeReach Property Solutions,323230
4428,ITT20190544,ITT,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,2019-06-27,GoldenHarbor Management,163384
4429,ITT20190545,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,2019-06-27,FreshStart Building Solutions,239003
4430,ITT20190546,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2019-06-27,FreshEdge Facility Support,289156
4431,ITT20190547,ITT,Office of International Relations and Diplomatic Affairs,Renovation and remodeling project management.,2019-06-27,SwiftSail Building Solutions,384087
4432,ITT20190548,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2019-06-27,EliteEdge Facilities Group,485513
4433,ITT20190549,ITT,Agency for Cultural Preservation and Heritage,Emergency response and disaster recovery planning.,2019-06-28,SkyQuest Facility Care,215609
4434,ITT20190550,ITT,Commission for Ethical Governance,Cleaning supplies and consumables procurement and management.,2019-06-28,InfiniteSpace Building Solutions,222497
4435,ITT20190551,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient systems and consumption monitoring.,2019-06-28,VisionQuest Facility Care,295978
4436,ITT20190552,ITT,Commission for Ethical Governance,Parking management and traffic control solutions.,2019-06-28,EliteTech Property Support,395650
4437,ITT20190553,ITT,Institute for Social Justice and Equality,24/7 security and access control management.,2019-06-28,AlphaTech Facilities Management,405438
4438,ITT20190554,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2019-06-28,GrandEdge Property Solutions,444195
4439,ITT20190555,ITT,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,2019-06-29,HorizonHarbor Property Services,327858
4440,ITT20190556,ITT,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,2019-06-29,SafeHarbor Facilities Group,358457
4441,ITT20190557,ITT,Institute for Social Justice and Equality,Indoor air quality monitoring and improvement measures.,2019-06-29,BlueReach Property Solutions,380303
4442,ITT20190558,ITT,National Institute of Scientific Advancement,Comprehensive janitorial services and cleanliness maintenance.,2019-06-29,SwiftGuard Management,442587
4443,ITT20190559,ITT,Bureau of National Security and Intelligence,HVAC system maintenance and climate control optimization.,2019-06-29,EliteReach Building Solutions,496706
4444,ITT20190560,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,2019-06-30,SilverTech Facilities Masters,110433
4445,ITT20190561,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2019-06-30,AlphaWave Property Solutions,116310
4446,ITT20190562,ITT,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,2019-06-30,SwiftGuard Management,286855
4447,ITT20190563,ITT,Federal Agency for Environmental Protection,Building automation and smart technology integration.,2019-07-01,TrueView Management,372396
4448,ITT20190564,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2019-07-02,GreenPrime Facilities Group,176377
4449,ITT20190565,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2019-07-02,TruePro Building Experts,201452
4450,ITT20190566,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2019-07-02,TrustMax Facilities Masters,250112
4451,ITT20190567,ITT,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,2019-07-02,GreenPrime Facilities Group,289889
4452,ITT20190568,ITT,Commission for Ethical Governance,Building maintenance and repairs.,2019-07-02,SecureReach Property Care,323659
4453,ITT20190569,ITT,National Commission for Space Exploration,Furniture and equipment maintenance and inventory tracking.,2019-07-02,GoldenHarbor Management,388383
4454,ITT20190570,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2019-07-02,AlphaCrest Property Support,526402
4455,ITT20190571,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,2019-07-03,GreenCrest Facilities Group,113468
4456,ITT20190572,ITT,Federal Agency for Environmental Protection,Indoor air quality monitoring and improvement measures.,2019-07-03,GoldenReach Property Management,174661
4457,ITT20190573,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2019-07-03,UrbanEdge Maintenance,400074
4458,ITT20190574,ITT,Department of Energy Conservation and Sustainability,Fire safety system installation and maintenance.,2019-07-04,GrandTech Building Solutions,297848
4459,ITT20190575,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2019-07-05,GoldenStar Property Care,184896
4460,ITT20190576,ITT,Commission for Ethical Governance,Pest control services for a pest-free environment.,2019-07-05,SafeHarbor Facilities Group,229990
4461,ITT20190577,ITT,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2019-07-05,BlueSky Property Care,230653
4462,ITT20190578,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,2019-07-05,SkyHigh Property Management,389848
4463,ITT20190579,ITT,Department of Energy Conservation and Sustainability,Parking management and traffic control solutions.,2019-07-05,GreenWave Facilities Management,460295
4464,ITT20190580,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2019-07-06,SwiftSail Building Solutions,124714
4465,ITT20190581,ITT,Department of Energy Conservation and Sustainability,Emergency response and disaster recovery planning.,2019-07-06,GrandTech Building Solutions,193805
4466,ITT20190582,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2019-07-06,InfiniteGuard Building Care,221071
4467,ITT20190583,ITT,National Commission for Space Exploration,Cleaning supplies and consumables procurement and management.,2019-07-06,SafeReach Property Solutions,423627
4468,ITT20190584,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,2019-07-07,TrueView Management,420521
4469,ITT20190585,ITT,Federal Agency for Environmental Protection,Renovation and remodeling project management.,2019-07-08,EverReach Property Care,133741
4470,ITT20190586,ITT,Department of Energy Conservation and Sustainability,Space planning and utilization optimization strategies.,2019-07-08,InfinitePro Facility Care,172176
4471,ITT20190587,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,2019-07-08,SkyHigh Property Management,294610
4472,ITT20190588,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,2019-07-08,TrustEdge Building Maintenance,353020
4473,ITT20190589,ITT,Federal Agency for Environmental Protection,Waste management and recycling program implementation.,2019-07-09,GrandReach Facility Care,247412
4474,ITT20190590,ITT,National Cybersecurity Task Force,Building automation and smart technology integration.,2019-07-09,StarStone Facility Services,265332
4475,ITT20190591,ITT,Bureau of Urban Development and Infrastructure,24/7 security and access control management.,2019-07-09,AlphaCrest Property Support,273012
4476,ITT20190592,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2019-07-09,GoldenGate Facility Masters,285086
